word,synonyms
apocopate,"[""apocopic"", ""jussive""]"
arming,"[""armament"", ""equipping""]"
assort,"[""classify"", ""consort"", ""distribute""]"
6th,"[""sixth""]"
gallia,"[""gaul""]"
callipygian,"[""bootylicious"", ""callipygous""]"
ballistical,"[""ballistic""]"
edible,"[""comestible"", ""eatable"", ""eatworthy"", ""food""]"
lovableness,"[""amiability"", ""lovability""]"
facelift,"[""rhytidectomy"", ""rhytidoplasty""]"
recollection,"[""memory"", ""remembrance"", ""reminiscence"", ""recall""]"
transumption,"[""metalepsis""]"
monodactyl,"[""monodactylous""]"
widespread,"[""broadcast"", ""common"", ""omnipresent"", ""extensive""]"
skicross,"[""skiercross""]"
archicerebellum,"[""vestibulocerebellum""]"
hepta,"[""septua""]"
invigorating,"[""cordial""]"
fleshiness,"[""corpulency"", ""pudginess"", ""obesity""]"
antiaircraft,"[""flack"", ""flak""]"
anhydrous,"[""dried""]"
barav,"[""stepwell""]"
autointoxication,"[""autotoxication"", ""autotoxicosis""]"
formaldehyde,"[""e240"", ""methanal""]"
longingly,"[""yearningly""]"
flashback,"[""analepsis""]"
denali,"[""mckinley""]"
particularise,"[""specify""]"
fluorescein,"[""fluoresceine"", ""resorcinolphthalein""]"
random,"[""casual"", ""aleatory"", ""arbitrary"", ""average"", ""pseudorandom"", ""stochastic"", ""force"", ""rando"", ""randy""]"
colossal,"[""behemothic"", ""enormous"", ""prodigious"", ""gargantuan"", ""giant"", ""huge"", ""mammoth"", ""massive""]"
fossa,"[""pit""]"
neon,"[""ne""]"
pika,"[""coney"", ""cony""]"
supposititious,"[""conjectural"", ""divinatory"", ""hypothetic"", ""hypothetical"", ""supposed"", ""suppositional"", ""suppositious""]"
exceptional,"[""brilliant"", ""distinguished"", ""especial"", ""egregious"", ""surpassing"", ""extraordinary"", ""particular"", ""singular"", ""special""]"
bludge,"[""doddle"", ""cadge"", ""freeload"", ""idle"", ""shirk""]"
body,"[""soundbox"", ""consistency"", ""torso"", ""cadaver"", ""camiknickers"", ""lump"", ""personify"", ""physique""]"
hudud,"[""hudood""]"
bristols,"[""breast""]"
intrinsical,"[""intrinsic""]"
pectinibranchous,"[""pectinibranchiate""]"
ity,"[""hood"", ""ness"", ""osity"", ""th"", ""ty"", ""y""]"
dumbasshood,"[""dumbassdom""]"
self,"[""ego""]"
aneurysmal,"[""aneurismal"", ""aneurismatic"", ""aneurysmatic""]"
